,precision,recall,f1-score,support
monte-carlo,1.0,0.7058823529411765,0.8275862068965517,17.0
multiplication,0.6896551724137931,0.4444444444444444,0.5405405405405406,45.0
mutual-exclusion,0.7916666666666666,0.76,0.7755102040816326,25.0
natural-language-processing,0.9285714285714286,0.6842105263157895,0.7878787878787878,76.0
nearest-neighbour,0.8571428571428571,0.6923076923076923,0.7659574468085106,26.0
network-flow,0.96875,0.8942307692307693,0.93,104.0
neural-networks,0.8618421052631579,0.8451612903225807,0.8534201954397395,155.0
nondeterminism,0.7021276595744681,0.592814371257485,0.6428571428571429,167.0
normal-forms,1.0,0.5581395348837209,0.7164179104477612,43.0
notation,0.7241379310344828,0.6176470588235294,0.6666666666666666,68.0
np,0.5742574257425742,0.4915254237288136,0.5296803652968036,236.0
np-complete,0.6439716312056738,0.7854671280276817,0.7077162899454403,578.0
np-hard,0.7110266159695817,0.6382252559726962,0.6726618705035972,293.0
number-formats,0.8333333333333334,0.7692307692307693,0.8,26.0
number-theory,0.5886524822695035,0.7757009345794392,0.6693548387096774,107.0
numerical-algorithms,0.7083333333333334,0.4927536231884058,0.5811965811965812,69.0
numerical-analysis,0.625,0.5,0.5555555555555556,40.0
object-oriented,0.9487179487179487,1.0,0.9736842105263158,37.0
one-way-functions,1.0,1.0,1.0,4.0
online-algorithms,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
operating-systems,0.7956521739130434,0.8755980861244019,0.8337129840546698,209.0
operational-semantics,1.0,0.88,0.9361702127659575,25.0
optimization,0.6100917431192661,0.6138461538461538,0.6119631901840491,650.0
oracle-machines,0.5769230769230769,0.9183673469387755,0.7086614173228346,49.0
os-kernel,0.8809523809523809,0.8409090909090909,0.8604651162790697,44.0
p-vs-np,0.7216494845360825,0.6542056074766355,0.6862745098039216,107.0
packing,0.9545454545454546,1.0,0.9767441860465116,42.0
paging,0.6764705882352942,1.0,0.8070175438596491,23.0
parallel-computing,0.7857142857142857,0.8048780487804879,0.7951807228915663,123.0
parameterized-complexity,0.84,0.5675675675675675,0.6774193548387096,37.0
parsers,0.7984496124031008,0.865546218487395,0.8306451612903226,119.0
parsing,1.0,0.2916666666666667,0.45161290322580644,24.0
partial-order,0.76,0.7037037037037037,0.7307692307692307,27.0
partitions,0.7872340425531915,0.6727272727272727,0.7254901960784313,55.0
pattern-recognition,0.7,0.7368421052631579,0.717948717948718,38.0
performance,0.7692307692307693,0.40816326530612246,0.5333333333333333,49.0
permutations,0.7204301075268817,0.7613636363636364,0.7403314917127072,88.0
planar-graphs,0.7083333333333334,0.6296296296296297,0.6666666666666666,27.0
polygons,1.0,1.0,1.0,5.0
polynomial-time,0.496551724137931,0.45,0.4721311475409836,160.0
